run,acc,macro_f1,nll,ece
1,0.26466666666666666,0.2574059781425502,1.9016557210286458,0.4327258328894774
2,0.3273333333333333,0.26527600720978517,2.2627161661783854,0.42432213763395943
3,0.2866666666666667,0.30092327898006244,1.9869682820638022,0.4496084777017435
4,0.23733333333333334,0.15625149707821193,3.4563238321940104,0.639049940486749
5,0.28633333333333333,0.23724887903583314,2.4110736083984374,0.4466422338585059
6,0.479,0.4357153895328447,1.225602274576823,0.27660537499189375
7,0.38333333333333336,0.297409511863073,2.7204207865397136,0.47366251368323964
8,0.37266666666666665,0.32467438228440176,2.1789256184895835,0.3900869243343671
9,0.22866666666666666,0.2354888581613694,2.401939666748047,0.5376971959471702
10,0.42733333333333334,0.3317796927635559,1.6688314921061198,0.39948417988419527
---,---,---,---,---
mean,0.32933333333333337,0.2842173475051687,2.2214457448323564,0.4469884811411301
std,0.07953042744062733,0.07024038148641969,0.574480638807069,0.09004232244788475
